"thema","query","query_mod"
"- offen - ","wahlprogramme parteien deutschlands","wahlprogramme parteien deutschlands"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wirtschaftliche Zukunft","wirtschaftliche zukunft"
"- offen - ","Migration","migration"
"- offen - ","Gesundheit","gesundheit"
"- offen - ","spd kanditaten","spd kanditaten"
"- offen - ","Wahlprogramm Bundestagswahl Parteien Schwerpunkte","wahlprogramm  parteien schwerpunkte"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Lebenslauf der Kandidaten","lebenslauf der kandidaten"
"- offen - ","Partei für Umwelt und Eingeschränkte Migration","partei für umwelt und eingeschränkte migration"
"- offen - ","Namen des Kandidaten, program der Partei","namen des kandidaten, program der partei"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlthemen","wahlthemen"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Welches ist Partei die dem Volk am wohlsten gesinnt ist ,","welches ist partei die dem volk am wohlsten gesinnt ist ,"
"- offen - ","Wahlthema zu Steuern","wahlthema zu steuern"
"- offen - ","Kleidung","kleidung"
"- offen - ","Umwelt Nachrichten","umwelt nachrichten"
"- offen - ","Politik, Wahlprogramm, BuWa2021","politik, wahlprogramm, buwa2021"
"- offen - ","Aktuell Nachrichten","aktuell nachrichten"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Ausländerpolitik","ausländerpolitik"
"- offen - ","umgang mit klimawandel","umgang mit klimawandel"
"- offen - ","Wahlprogramm, Kandidaten, Bundestagswahl","wahlprogramm, kandidaten,"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wer vertrauenswürdig ist und hält was er/sie verspricht","wer vertrauenswürdig ist und hält was er/sie verspricht"
"- offen - ","Migrationspolitik","migrationspolitik"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahlthema Parrei","wahlthema parrei"
"- offen - ","politik macht und geld","politik macht und geld"
"- offen - ","steuer reduzieren,mietegrenzen,rente","steuer reduzieren,mietegrenzen,rente"
"- offen - ","Wahlprogramm ...","wahlprogramm ..."
"- offen - ","Welche Partei vertritt meine Interessen","welche partei vertritt meine interessen"
"- offen - ","Partei, Wahl, Wahlprogramm","partei, wahl, wahlprogramm"
"- offen - ","Welchen Kandidaten stellen sich zur Bundestagswahl auf","welchen kandidaten stellen sich zur  auf"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Kandidaten , Wahl-Motto","kandidaten , wahl-motto"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Welche Partei passt am besten zu mir?","welche partei passt am besten zu mir?"
"- offen - ","Wahlprogramm, Parteien","wahlprogramm, parteien"
"- offen - ","Info zu allen aktuellen Kanzlerkandidaten","info zu allen aktuellen kanzlerkandidaten"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wahlprogramm der Grünen","wahlprogramm der grünen"
"- offen - ","Wahlprogramm Grüne Linke Vergleich","wahlprogramm grüne linke vergleich"
"- offen - ","Wahlprogramm Parteien","wahlprogramm parteien"
"- offen - ","Wah l2021","wah l2021"
"- offen - ","wahlomat bundestagswahl 2021 + parteiprogramm grüne + parteiprogramm linke usw","wahlomat  + parteiprogramm grüne + parteiprogramm linke usw"
"- offen - ","nach Klimadaten","nach klimadaten"
"- offen - ","Wahlprogramm Partei xy","wahlprogramm partei xy"
"- offen - ","Wie sieht das Wahlprogramm für die... aus","wie sieht das wahlprogramm für die... aus"
"- offen - ","Soziale Netzwerke","soziale netzwerke"
"- offen - ","Verkehrspolitik","verkehrspolitik"
"- offen - ","Robert Habeck","robert habeck"
